taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2880357	Quercus × celtica F.M.Vázquez, Coombes, Rodr.-Coombes, S.Ramos & Doncel	2880357	Quercus × celtica F.M.Vázquez, Coombes, Rodr.-Coombes, S.Ramos & Doncel	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus celtica	2880357	
2880007	Cyclobalanopsis austrocochinchinensis (Hickel & A.Camus) Hjelmq.	2880006	Quercus austrocochinchinensis Hickel & A.Camus	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus austrocochinchinensis	2880006	
2879728	Quercus brantii var. belangeri (A.DC.) Zohary	2879712	Quercus brantii Lindl.	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus brantii	2879712	
2881086	Quercus lusitanica f. obtusidens C.Vicioso	3906617	Quercus × alpestris Boiss.	8	FORM	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus alpestris	3906617	
2878671	Cyclobalanopsis meihuashanensis Q.F.Zheng	2878670	Quercus meihuashanensis (Q.F.Zheng) C.C.Huang	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus meihuashanensis	2878670	
5939331	Quercus alpestris f. peduncularis C.Vicioso	7226615	Quercus faginea subsp. faginea	2	FORM	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus faginea	2881480	
2880454	Quercus pseudoserrata Liou	2880449	Quercus baronii Skan	4	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus baronii	2880449	
2880453	Quercus kozloviana Liou	2880449	Quercus baronii Skan	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus baronii	2880449	
2880122	Quercus × fontqueri var. aspleniifolia C.Vicioso	2880121	Quercus × fontqueri O.Schwarz	6	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus fontqueri	2880121	
2878560	Quercus syspirensis K.Koch	2878556	Quercus macranthera subsp. syspirensis (K.Koch) Menitsky	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus macranthera	2878554	
6289967	Quercus dentata var. pinnatifida Matsum.	7226630	Quercus dentata subsp. dentata	2	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus dentata	2879353	
2881023	Quercus leptocarpos Kotschy ex Boiss.	2881012	Quercus infectoria subsp. veneris (A.Kern.) Meikle	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus infectoria	2881010	
3906262	Quercus × comptonae Sarg., 1918	3906262	Quercus × comptonae Sarg., 1918	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus comptonae	3906262	
2878516	Quercus × teriana C.Vicioso	7274384	Quercus kerneri nothosubsp. kerneri	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus kerneri	2878507	
